actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19817745685577393
0.15276455879211426,0.19698671996593475
0.15529286861419678,0.19577856361865997
0.15776026248931885,0.19466786086559296
0.1601690798997879,0.19350479543209076
0.15519747138023376,0.19227296113967896
0.1531791090965271,0.19145497679710388
0.1467219442129135,0.19001512229442596
0.13588865101337433,0.18861167132854462
0.12945690751075745,0.1872890293598175
0.11864502727985382,0.18596556782722473
0.10351292043924332,0.18455134332180023
0.0841178223490715,0.18297870457172394
0.06923216581344604,0.1814076155424118
0.05006934329867363,0.17961901426315308
0.026684356853365898,0.17774927616119385
0.003488851711153984,0.17574208974838257
0.0,0.1737232655286789
0.0,0.17136915028095245
0.0,0.16889983415603638
0.0,0.1663135588169098
0.0,0.16371096670627594
0.0,0.16086916625499725
0.0,0.15756240487098694
0.0,0.15443463623523712
0.0,0.1510058343410492
0.0,0.14780093729496002
0.0,0.1440335214138031
0.0,0.14043016731739044
0.0,0.1367396116256714
0.0,0.1329972892999649
0.0,0.12910419702529907
0.0,0.1251760870218277
0.0,0.12135118246078491
0.0,0.11721061915159225
0.0,0.11316170543432236
0.0,0.10911986231803894
0.0,0.1050654798746109
0.0,0.10104499757289886
0.0,0.0969257801771164
0.0,0.09288692474365234
0.0,0.08884613960981369
0.0,0.08481822907924652
0.0,0.0808381587266922
0.0,0.07695432752370834
0.0,0.07321121543645859
0.0,0.06960494816303253
0.0,0.06612519174814224
0.0,0.06276311725378036
0.0,0.05951232463121414
0.0,0.05636836588382721
0.0,0.05335630476474762
0.0,0.050442274659872055
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12688018381595612
0.0,0.12582062184810638
0.00997406430542469,0.12503044307231903
0.022319070994853973,0.1241908147931099
0.05925390496850014,0.12296605855226517
0.075090691447258,0.12256041914224625
0.09938178211450577,0.12238026410341263
0.11894083023071289,0.12237833440303802
0.1294858455657959,0.12240991741418839
0.15294551849365234,0.12264309078454971
0.1629919409751892,0.12296202778816223
0.17725719511508942,0.12334085255861282
0.19132819771766663,0.1238594651222229
0.20085477828979492,0.12449649721384048
0.20590564608573914,0.1249619647860527
0.2109055519104004,0.1256653070449829
0.22021591663360596,0.12631769478321075
0.2207016497850418,0.12704820930957794
0.22556547820568085,0.12772215902805328
0.2260282337665558,0.12832456827163696
0.22215233743190765,0.12898464500904083
0.21835651993751526,0.12968173623085022
0.20591920614242554,0.13009987771511078
0.20239366590976715,0.13056786358356476
0.1858556866645813,0.13090983033180237
0.17391927540302277,0.13127532601356506
0.1577950268983841,0.13151857256889343
0.13753558695316315,0.13137227296829224
0.11754992604255676,0.13119716942310333
0.09782540798187256,0.13101789355278015
0.07399089634418488,0.1305154263973236
0.04609508067369461,0.12978321313858032
0.018543172627687454,0.12889167666435242
3.7017241993453354e-05,0.12799067795276642
0.0,0.1265648901462555
0.0,0.12512238323688507
0.0,0.1231735497713089
0.0,0.12113769352436066
0.0,0.11900743842124939
0.0,0.11695871502161026
0.0,0.11441266536712646
0.0,0.11156050115823746
0.0,0.10850103944540024
0.0,0.10540765523910522
0.0,0.10199843347072601
0.0,0.0983777865767479
0.0,0.09466510266065598
0.0,0.09084172546863556
0.0,0.08688688278198242
0.0,0.0828506201505661
0.0,0.07870245724916458
0.0,0.07460279762744904
0.0,0.07060328125953674
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12244768440723419
0.0,0.12031284719705582
0.0,0.11828845739364624
0.0,0.11638261377811432
0.0,0.11454308032989502
0.0,0.11285194009542465
0.0,0.11136600375175476
0.0,0.11005180329084396
0.0,0.10877469182014465
0.0,0.1077435314655304
0.0,0.10684899240732193
0.0,0.10604986548423767
0.0,0.10532855987548828
0.0,0.10469217598438263
0.0,0.10414712876081467
0.0,0.10369449853897095
0.004526791628450155,0.10331874340772629
0.014730039983987808,0.10303664207458496
0.024763567373156548,0.10283122956752777
0.030275912955403328,0.10267673432826996
0.031334370374679565,0.10252740234136581
0.036721475422382355,0.10241914540529251
0.037659935653209686,0.10232146829366684
0.03857304900884628,0.10223463922739029
0.04817967116832733,0.10223016142845154
0.05328323692083359,0.10225044935941696
0.06266822665929794,0.10233663022518158
0.05884190648794174,0.10247188061475754
0.050709523260593414,0.10257171839475632
0.030473140999674797,0.10242713987827301
0.027074240148067474,0.10225345939397812
0.019349420443177223,0.1020209863781929
0.01607506535947323,0.10177469998598099
0.012827565893530846,0.10154366493225098
0.013964492827653885,0.1012672409415245
0.006347143556922674,0.10096759349107742
0.0031744157895445824,0.10067788511514664
2.2924399672774598e-05,0.10033360123634338
0.0,0.09998172521591187
0.0,0.09957917779684067
0.0,0.09921833872795105
0.0,0.09882321953773499
0.0,0.09841330349445343
0.24316257238388062,0.09795070439577103
0.24158048629760742,0.19890201091766357
0.240006223320961,0.19905123114585876
0.238438680768013,0.19926413893699646
0.2412363886833191,0.19940252602100372
0.23962022364139557,0.19962859153747559
0.23801171779632568,0.19966788589954376
0.23641033470630646,0.199820876121521
0.23481501638889313,0.1999182254076004
0.2332252711057663,0.20000000298023224
0.23164063692092896,0.19933639466762543
0.22570110857486725,0.19953610002994537
0.2053537666797638,0.19949495792388916
0.19535592198371887,0.19937434792518616
0.18110856413841248,0.19921982288360596
0.16702581942081451,0.19896912574768066
0.15309925377368927,0.19850052893161774
0.13932135701179504,0.19805969297885895
0.12132584303617477,0.19755250215530396
0.10352461785078049,0.19677776098251343
0.08154941350221634,0.19587086141109467
0.06416923552751541,0.19488471746444702
0.03823497146368027,0.19387677311897278
0.012577012181282043,0.19270002841949463
0.0,0.19108159840106964
0.0,0.1895364671945572
0.0,0.1878477782011032
0.0,0.18596947193145752
0.0,0.18392084538936615
0.0,0.18164590001106262
0.0,0.17918504774570465
0.0,0.17657341063022614
0.0,0.17381581664085388
0.0,0.17087256908416748
0.0,0.16776242852210999
0.0,0.16450603306293488
0.0,0.16117937862873077
0.0,0.15776441991329193
0.0,0.1542349010705948
0.0,0.15064622461795807
0.0,0.14674173295497894
0.0,0.1428765207529068
0.0,0.13904070854187012
0.0,0.1351911872625351
0.0,0.13122454285621643
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19995129108428955
0.0,0.19709554314613342
0.0,0.19451972842216492
0.0,0.19205260276794434
0.0,0.18973031640052795
0.0,0.1875421553850174
0.0,0.18548139929771423
0.0,0.18349839746952057
0.0,0.18162503838539124
0.0,0.17972050607204437
0.0,0.17793485522270203
0.0,0.17631125450134277
0.0,0.17455534636974335
0.0,0.17286473512649536
0.0,0.17123354971408844
0.0,0.16961221396923065
0.0,0.16804973781108856
0.0,0.16639462113380432
0.0,0.16484753787517548
0.0,0.16335757076740265
0.0,0.16183967888355255
0.09990354627370834,0.16026818752288818
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
0.12169082462787628,0.20000000298023224
0.11719101667404175,0.20000000298023224
